black tshirt,19,33,73,80,111,113,116,135,136,140,141,143,146,157,164,174,176,187,191,199,201,213,215,222,224,229,239,271,275,293,308,315,317,321,334,337,339,345,362,365,384,387,393
multicolor tshirt,10,17,30,36,50,64,66,81,97,100,131,139,166,170,197,206,220,230,233,242,265,267,272,281,282,284,311,331,333,335,378,381,382,383
dark blue tshirt,0,7,25,42,51,82,94,99,103,114,122,151,153,162,192,202,204,241,253,280,295,297,309,310,314,320,327,358,360,373
blue tshirt,5,34,37,49,56,57,65,77,79,110,115,120,183,193,209,240,245,252,299,324,342,354,355,371,389
grey tshirt,60,71,83,105,121,124,163,173,205,219,250,264,287,289,301,302,312,323,328,359,368,374
dark blue black grey tshirt,268
maroon black grey tshirt,273
dark blue white pink tshirt,283
blue beige tshirt,298
men hooded black tshirt,305
